"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HRAS",15.055282051282,26.9290697674419,2.00452075468391,0.0515486839713823,0.171472959365139,-4.16092084942351
"C17orf49",60.4402564102564,95.1906976744186,2.00436743644348,0.0515657464861839,0.171500829800546,-4.16101124173847
"MGAT2",71.3110256410258,227.844186046512,2.0041954468725,0.051584892728665,0.171535619885234,-4.16111263638077
"MGC42157",-9.07153846153848,42.8325581395349,-2.00400076877912,0.0516065721434035,0.171578820414154,-4.16122739941829
"PWWP2B",-3.62120512820513,11.3351162790698,-2.0029898923166,0.0517192707394266,0.171897786418735,-4.16182318655601
"FLJ11506",348.238461538461,770.418604651163,2.0029396830753,0.051724873926525,0.171897786418735,-4.16185277320409
"ZCCHC4",-71.7676923076923,156.137209302326,-2.00290610491283,0.0517286214333152,0.171897786418735,-4.16187255941529
"HIRA",27.9406666666666,62.593488372093,2.00267338017642,0.0517546012587198,0.171955185104047,-4.16200968798377
"FAM58A",464.41282051282,1187.16279069767,2.00251708399327,0.0517720554635093,0.171971706310398,-4.16210177620425
"BLZF1",40.3582051282052,149.895348837209,2.00247290969862,0.051776989504361,0.171971706310398,-4.16212780236043
"C13orf29",29.0524102564102,46.1260465116279,2.00229512412804,0.0517968513579621,0.172008746841835,-4.16223254414664
"ZNF322A",43.3592307692307,142.881395348837,2.002204916975,0.0518069316492127,0.172013297434483,-4.16228568689181
"CHCHD5",-22.5476923076924,115.976744186047,-2.00166277197573,0.0518675500345137,0.17216639397235,-4.16260503928976
"ZNF343",-49.4079487179487,100.993953488372,-2.00163661112632,0.0518704766892239,0.17216639397235,-4.16262044788915
"GSTM4",-36.6528717948718,41.7197674418605,-2.00090525556256,0.0519523525312363,0.172409176632396,-4.16305115497827
"CEP192",69.1225641025642,144.355813953488,2.00080626261797,0.0519634434743337,0.172417010277993,-4.16310944500273
"ZNF526",6.23725641025641,15.3646511627907,2.00063869550572,0.051982221987764,0.172439509508124,-4.16320810893129
"SGCB",388.537435897435,783.341860465116,2.00058993509801,0.0519876874581685,0.172439509508124,-4.16323681808622
"AVPR1A",-7.15869230769231,7.27325581395349,-2.00040404344609,0.0520085283037546,0.172479668424996,-4.16334626285966
"G6PC",-3.82958974358975,11.1051162790698,-2.00022978112916,0.0520280719271416,0.172515512506568,-4.16344885428977
"SRGAP3",-5.50071794871796,9.08767441860465,-2.0000495700912,0.0520482893979945,0.172553578532985,-4.1635549412189
"MTHFD2L",-16.1361282051282,17.1406976744186,-1.99989175964777,0.0520659993884948,0.172583320228832,-4.16364783579873
"SBNO1",49.1792307692307,112.341860465116,1.9996551243218,0.0520925651458057,0.17261603252224,-4.1637871206987
"CCDC120",42.9384615384615,97.6786046511628,1.99962561997153,0.0520958782618258,0.17261603252224,-4.16380448631296
"IKBKE",2.9351282051282,5.6293023255814,1.99957030935303,0.0521020897192299,0.17261603252224,-4.16383704044491
"ZNF781",-11.9770769230769,13.776976744186,-1.99942651606056,0.0521182409043174,0.172640580278324,-4.16392166979312
"ZC3H11A",148.707692307692,478.441860465116,1.99814053368542,0.0522628783587928,0.173067842696885,-4.16467834224938
"MFAP4",-215.28358974359,241.479069767442,-1.99812388328769,0.0522647533467125,0.173067842696885,-4.16468813709839
"PIGY",191.802564102564,659.046511627907,1.99631294854059,0.0524690294817383,0.17371514890777,-4.16575310332539
"UBE2O",69.2638205128205,99.4874418604651,1.99618221474008,0.0524838031826127,0.17373493614707,-4.16582995829814
"CFC1",-3.328,13.8181395348837,-1.99590296449214,0.0525153722001533,0.173801389390656,-4.16599411030042
"KRT5",-182.06317948718,281.133023255814,-1.99583180099169,0.0525234198067199,0.173801389390656,-4.16603593983367
"UBE2G2",236.015384615385,608.046511627907,1.99577114791166,0.0525302796735442,0.173801389390656,-4.16607159056599
"CCNY",58.3130769230769,89.8204651162791,1.99563395033103,0.0525457995912151,0.173823617441693,-4.166152229886
"REST",44.0125641025641,145.737209302326,1.99521577021628,0.0525931290207535,0.173951047568391,-4.16639799550616
"GRK4",-8.8056923076923,14.4341860465116,-1.99444031818547,0.0526809920510745,0.174212476894955,-4.16685363460746
"GRIA1",10.400641025641,12.4739534883721,1.99434593783262,0.0526916945439097,0.174218696726548,-4.16690908195702
"PIK3AP1",9.71410256410257,14.966511627907,1.99404495302966,0.0527258380376044,0.174302406328197,-4.1670858946202
