"","TNBC_1","TNBC_2","TNBC_3","TNBC_4","TNBC_5","TNBC_6","TNBC_7","TNBC_8","TNBC_9","TNBC_10","TNBC_11","TNBC_12","TNBC_13","TNBC_14","TNBC_15","TNBC_16","TNBC_17","TNBC_18","TNBC_19","TNBC_20","TNBC_21","TNBC_22","TNBC_23","TNBC_24","TNBC_25","TNBC_26","TNBC_27","TNBC_28","TNBC_29","TNBC_30","Normal_31","Normal_32","Normal_33","Normal_34","Normal_35","Normal_36","Normal_37","Normal_38","Normal_39","Normal_40","Normal_41","Normal_42","Normal_43"
"LOC100130289",0.324063133485221,0.221441649623566,0.105992480279204,-0.342976511615537,0.375373875416049,-0.355804197098244,0.24709702058898,0.888481294724324,2.36366512523562,-0.394287253546365,-0.0222843745478651,1.47855482692884,0.644755270552893,0.118820165761911,0.0546817383483762,0.0290263673829624,1.15786268986117,0.324063133485221,0.413856931864169,0.542133786691238,1.60683168175591,1.70945316561757,0.580616843139359,1.50421019789426,0.170130907692738,-0.445597995477193,-0.573874850304261,-0.625185592235089,-0.0479397455132789,1.45289945596343,-1.16779668815359,-1.25117664379119,-1.43974362038698,-1.38586734135961,-1.41152271232502,-1.10878933493314,-0.779117818027572,-1.19216929057073,-1.31788060830126,-1.39997779539059,-1.2768320147566,-0.791945503510279,1.01675814955139
"EPCAM",0.269250637796583,0.32114565090843,-1.28863765582106,0.300387645663691,-0.291215503811364,-1.14125581858342,0.310766648286061,0.0824285905939339,-0.18742547758767,-0.104393456608715,0.0616705853491951,1.35904591314537,0.269250637796583,-0.695996606083771,0.0512915827268257,-0.166667472342932,1.25525588692168,0.134323603705781,1.20336087380983,0.331524653530799,0.549483708600557,1.41094092625722,1.26563488954405,2.44884118849416,-0.720906212377457,1.40056192363485,-0.384626527412689,-0.322352511678473,-0.395005530035058,2.91589630650078,-0.795635031258517,-1.05199639603104,-1.1661654248771,-0.70637560870614,-1.19003713090855,-0.726095713688642,-0.0836354513639765,-0.800824532569702,-1.14125581858342,-1.32496416499936,-1.28552395503435,-0.602585582482446,0.632515729579512
"ATP5L",1.06017786596233,0.729463899961801,0.0934755038069462,0.500508077346053,0.894820882962064,-1.31841873565683,0.653145292423219,1.50536974327072,0.462348773576762,1.79792440550196,0.945699954654452,-0.5806721961172,0.538667381115345,1.21281508103949,1.09833716973162,0.462348773576762,1.25097438480878,0.500508077346053,0.69130459619251,-0.211798926347384,1.07289763388542,-0.478914052732423,-0.517073356501715,0.475068541499859,-0.173639622578093,-1.68729200542665,0.00443712834526646,-0.898666394194628,0.475068541499859,1.87424301304054,-0.606111731963394,-1.0385838413487,-1.99256643558098,-1.49649548658019,-1.0258640734256,-1.05130360927179,-0.0973210150395104,-0.606111731963394,-1.16578152057967,-1.58553386204187,-0.898666394194628,-0.66971057157888,-0.199079158424287
"B4GALT1",0.547215378073333,0.324238435389069,0.460502122585008,-0.307529568883013,-0.282754353029206,-0.245591529248495,1.488673580518,0.510052554292622,0.410951690877394,3.09906261101547,-0.431405648152048,0.510052554292622,1.21614620612613,0.57199059392714,-0.431405648152048,-0.468568471932759,2.44251939088958,1.17898338234541,1.43912314881039,-0.369467608517531,1.16659577441851,0.448114514658104,-0.88850838065479,-0.109327842052556,0.547215378073333,-0.919477400472049,-0.245591529248495,-0.0350021944911345,-0.394242824371338,0.819742752465211,-0.920716161264739,-0.728708238397734,-1.0284883502288,-0.99380304803347,-1.05574108766799,-0.723753195226972,-0.834002905776414,-0.74976717187347,-1.15484195108322,-1.34437235236484,-1.25394281449845,-1.1052915193756,-0.15887827376017
"U2AF1",0.638517804667024,0.52315049679408,0.511613766006785,-1.02853979409702,-0.699742966659131,-0.849720466893958,-1.0354618325694,1.28457472875551,1.14613395930798,0.869252420412913,-0.272883927529236,1.42301549820305,-0.169053350443587,-0.0882962349325255,-0.157516619656292,0.580834150730552,1.08845030537151,-0.215200273592764,2.32288049961201,0.903862612774796,1.81526434497106,1.42301549820305,0.21165876553713,1.91909492205671,-0.445934889338653,-0.249810465954648,-0.0306125809960533,-0.942014313192314,-0.642059312722658,1.3191849211174,-0.918940851617725,-1.19697606359152,-1.26158175600037,-1.38963946773934,-0.895867390043136,-0.82664700531937,-0.422861427764064,-0.976624505554197,-1.07699406340366,-0.653596043509953,-0.895867390043136,-0.907404120830431,0.269342419473602
"FAM108C1",-0.716382107546107,0.522986266181895,0.593290793054634,-0.374902977021374,-0.331715910513834,-0.364859473182412,-0.373898626637478,2.23038191880556,-0.672190690654671,0.753986854478038,-0.740486516759618,-1.03375682885733,1.47711913088336,0.874508900545591,-0.721403859465589,0.673638823766336,1.84872877292498,0.83433488518974,0.161420127979236,0.462725243148118,0.0710285934285714,-1.01768722271499,2.7325571107537,1.33651007713788,1.68803271150157,-0.582803506487903,-0.780660532115469,-0.0193629411220932,-0.404029138154366,1.22603153490929,-0.801751890177291,-0.585816557639592,-0.97450015620745,-0.585816557639592,-0.789699685570535,-0.891139074344059,-0.933321790467703,-0.800747539793395,-1.04781773423188,-1.05585253730305,-0.927295688164325,-0.432150948903462,0.472768746987081
"CSTB",0.601506550027107,0.509620824365492,0.903416791486699,1.00842904938569,-0.17952211809662,-0.604821762587523,-0.102075577896116,1.5991230000675,-0.0351302634855105,0.365228969754383,-0.130953948818337,-0.180834771320357,0.0370656638200441,2.59673945010789,-0.0823857795400553,0.470241227653372,1.16594743623417,0.430861630941251,2.09793122508769,0.16833098619378,0.53587388884024,-0.132266602042075,-0.250405392178437,2.64924557905738,-0.607447069034998,-0.792531173581965,-0.10995149723854,-0.768903415554693,-0.544439714295605,1.48098420993114,-1.00780630227489,-0.95398752010166,-1.13277088917469,-1.01962018128853,-1.02487079418348,-0.971052012010246,-0.692769528577926,-0.982865891023882,-1.13775897142489,-1.05768712477691,-0.994679770037518,-0.915920576613277,-0.207087835795104
"HMGB2",0.279399821950999,0.635127689398976,0.97938046434863,-0.895649649877154,-0.394188107700491,-0.753358502897964,0.371200561937574,1.12855666682681,2.1727900841741,-0.259929525470126,-0.659262744411725,-0.308124913963078,0.612177504402332,-0.33566513595905,-0.591559698671626,1.08265629683353,1.86296258671941,0.508901671917436,-0.487136356936898,0.118748526974494,-0.15665369298523,-0.236979340473482,0.967905371850308,1.77116184673284,0.118748526974494,2.35639156414725,-0.438940968443946,-0.666147799910718,-0.5513968749275,2.26459082416067,-0.764833595396286,-0.975975297365407,-1.14236413859107,-1.29360585771896,-0.837126678135713,-0.726965790151824,-0.558281930426493,-0.815324002388902,-0.986302880613897,-1.05171090785433,-0.869256937131014,-0.891059612877826,0.417100931930861
"PPIA",1.59040040639685,0.780425219779757,0.046385206908014,1.50180937036061,-0.674998943672837,-1.10529826156317,-0.118141002873584,2.76739559944982,0.248879003562288,1.14744522621563,-0.949631155385196,-0.105485140582692,-0.130796865164476,2.159914209487,-1.00405136323603,1.55243281952418,1.43853005890615,0.818392806652434,-0.0928292782917994,-0.933178534407037,0.388093488762101,-0.194076176618936,-0.295323074946073,0.0337293446171218,1.17275695079741,0.286846590434964,-0.143452727455368,0.0590410691989061,-0.81547901510174,1.10947763934295,-0.345946524109642,-0.678795702360105,-0.940772051781572,-0.812947842643561,-0.788901704290866,-0.649687219091053,-0.409225835564103,-0.905335637367074,-1.23185688447209,-1.39005516310824,-0.980005224883337,-0.5737520453457,-0.8319316360799
"MAGED1",2.11563435639411,0.177287482394425,0.237484590282614,0.213405747127338,-0.760583458503561,-0.720853367297356,-0.506551663215403,-0.437926960222868,-0.592031556416632,0.586627816034111,-0.256131694400537,0.622746080767024,0.971889306518521,0.526430708145921,-0.207974008089985,-0.700386350615372,2.51293526845616,1.6340574932886,-0.0514615275806937,0.0207750018851331,1.29695368911474,0.586627816034111,2.85003907263002,0.959849884940883,-0.280210537555812,-0.566748771103592,0.682943188655213,-0.994148237109735,-1.04110198126252,1.00800757125143,-0.995352179267499,-0.665472028040222,-1.00257583221408,-0.877365847806648,-1.01100342731843,-0.929135360590491,-0.553505407368191,-0.823188450707278,-0.651024722147057,-1.10250303130847,-0.877365847806648,-0.624537994676254,0.225445168704976
